Concept Name	Concept Definition	Concept Definition Source	Concept Code	URI for SW model	Atomized Concepts	Comment
Anti-CCP	Anti-citrullinated protein/peptide antibodies are autoantibodies (antibodies directed against one or more of the individual’s own proteins) frequently detected in rheumatoid arthritis patients. During inflammation, citrulline is incorporated enzymatically into proteins[1], what is called citrullination. Recently, these ACPAs have turned up as powerful biomarkers, which are accepted as a major diagnostic tool in diagnosing rheumatoid arthritis (RA) already in a very early stage of disease.	LOINC: 53027-9 	C1138934	=		search.loinc.org
Rheumatoid Factor	Rheumatoid factor (RF or RhF) is a blood test performed in patients with suspected rheumatoid arthritis (RA). It is an auto-antibody directed against the Fc portion of IgG, which is itself an antibody. RF and IgG form immune complexes, which are part of the disease process (serum sickness) of various rheumatological diseases.	LOINC: 6928-6	C0035448	=		search.loinc.org
TNF inhibitors biologics	"Biologics are genetically engineered proteins derived from human genes. They are designed to inhibit specific components of the immune system that play pivotal roles in fueling inflammation, which is a central feature of rheumatoid arthritis. They differ significantly from traditional drugs used to treat rheumatoid arthritis in that they target specific components of the immune system instead of broadly affecting many areas of the immune system.\nTNF inhibitors are drugs that inhibit the production or activity of a Tumor Necrosis Factor. This process may result also in inhibition of some functions of mature immune cells, including polymorphonuclear chemotaxis and monocyte phagocytosis. Tumor Necrosis Factor suppression is intended to favorably modulate functions of the immune system."	http://www.webmd.com/rheumatoid-arthritis/guide/biologics	C1519686	<		http://www.arthritistoday.org/arthritis-treatment/medications/drug-guide/search-by-condition.php?v=9&condition=Rheumatoid%20arthritis
Non TNF inhibitor biologics	"Biologics are genetically engineered proteins derived from human genes. They are designed to inhibit specific components of the immune system that play pivotal roles in fueling inflammation, which is a central feature of rheumatoid arthritis. They differ significantly from traditional drugs used to treat rheumatoid arthritis in that they target specific components of the immune system instead of broadly affecting many areas of the immune system.\nNon-TNF inhibitor biologics are the drugs that target other than TNF immune response components ."	http://www.webmd.com/rheumatoid-arthritis/guide/biologics		 <		http://www.arthritistoday.org/arthritis-treatment/medications/drug-guide/search-by-condition.php?v=9&condition=Rheumatoid%20arthritis
Oral corticosteroids	Group of drugs, steroid hormones, that are administered orally to suppress inflammation and immunity.	Medicinenet.com	C0001617	 <		
MTX (Methotrexate)	An antimetabolite and antifolate agent with antineoplastic and immunosuppressant activities. Methotrexate binds to and inhibits the enzyme dihydrofolate reductase, resulting in inhibition of purine nucleotide and thymidylate synthesis and, subsequently, inhibition of DNA and RNA syntheses. Methotrexate also exhibits potent immunosuppressant activity although the mechanism(s) of actions is unclear.	http://ncim.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20MetaThesaurus&code=C0025677	C0025677	=		
Oral Disease-modifying antirheumatic drug	Each disease-modifying anti­rheumatic drug (DMARD) works in different ways to slow or stop the inflammatory process that can damage the joints and internal organs.	http://www.arthritistoday.org/arthritis-treatment/medications/types-of-drugs/disease-modifying-drugs/drug-guide-dmards.php	C0242708	 =		http://www.arthritistoday.org/arthritis-treatment/medications/drug-guide/search-by-condition.php?v=9&condition=Rheumatoid%20arthritis
Swollen joint count	# of joints evaluated for soft-tissue swelling and effusion	NCI EVS	C0451521	=		
Tender joint count	 # of joints evaluated for upon pressure or motion	NCI EVS	C0451530	=		
Radiographic response	An RA outcome measure that uses radiographs as the simplest and least expensive permanent record of the cumulative joint damage caused by the disease.			 <		
CRP - C reactive peptide Level	Laboratory Test result for C-reactive protein	NCI EVS	C0856624	=		30522-7  LOINC
ESR - Erythrocyte Sedimentation Rate	Laboratory Test result for ESR	LOINC	30341-2	 =		C0086250   NCI EVS
Visual Analog Scale (VAS) for Patient Pain Assessment	May be recorded using a 0-10 scale, or a visual analog scale 0-100 mm.	https://www.rheumatology.org/Practice/Clinical/Rcr/Disease_Assessment/	C21120	 <		
Visual Analog Scale (VAS) for Patient Global Assessment 	"Scales maybe recorded using a 0-10 scale or a visual analog scale 0-100 mm, or may be recorded using descriptors such as ""well"" or ""poor""."	https://www.rheumatology.org/Practice/Clinical/Rcr/Disease_Assessment/	C21120	 <		
Visual Analog Scale (VAS) for Physician Global Assessment	Maybe recorded using a 0-10 scale or a visual analog scale 0-100 mm, or may be recorded using descriptors such as “remission, low disease activity, moderate disease activity or high disease activity”. The Physician global assessment can take into account several factors such as the presence of joint pain, duration of morning stiffness, degree of fatigue, functional status, objective evidence of disease activity (i.e., synovitis, as assessed by tender and swollen joint counts, and the erythrocyte sedimentation rate (ESR) or C-reactive protein (CRP) level), mechanical joint problems (i.e., loss of motion, crepitus, instability, malalignment, and/or deformity), the presence of extraarticular disease, and the presence of radiographic damage.	https://www.rheumatology.org/Practice/Clinical/Rcr/Disease_Assessment/	C21120	 <		
"“Considering all the ways your arthritis affects you, \nhow are you feeling today?”"	One open ended question, that allows any answer by a patient.	Cmap; Summary of Clin.Efficacy NDA 203214, p.24		 <		
Erosion Score	A result of a calculation method based on the radiographic obervation and measurments of the joints' damage. 	NCI EVS	C0587240	 <		code does not represent the score, but erosion itself
Joint Space Narrowing (JSN) Score	A result of a calculation method based on the radiographic obervation and measurments of the joints' damage. 	NCI EVS	C1859695	 <		code does not represent JSN score, but JSN itself
